time;x;y;z;gforce
7.9250;-0.1524;-0.8482;0.0156;0.862
7.9270;-0.1993;-0.9655;0.0391;0.987
7.9540;-0.2541;-1.0554;0.0624;1.087
7.9560;-0.3517;-1.1609;0.1133;1.218
7.9830;-0.4183;-1.1844;0.1563;1.266
7.9860;-0.5238;-1.1101;0.1993;1.244
7.9900;-0.5277;-0.9459;0.2228;1.106
7.9920;-0.5590;-0.7074;0.1524;0.914
8.0010;-0.7622;-1.1648;0.2033;1.407
8.0030;-0.7036;-1.0202;0.1837;1.253
8.0050;-0.5941;-0.8287;0.1407;1.029
8.0210;-0.5394;-0.7388;0.1172;0.922
8.0230;-0.4924;-0.6880;0.0938;0.851
8.0250;-0.4924;-0.6997;0.0859;0.860
8.0270;-0.6019;-0.9342;0.0977;1.116
8.0400;-0.6684;-1.0828;0.1172;1.278
8.0490;-0.7427;-1.3095;0.1602;1.514
8.0510;-0.7700;-1.4306;0.1993;1.637
8.0590;-0.7622;-1.5245;0.2541;1.723
8.0620;-0.6762;-1.4463;0.2657;1.619
8.0680;-0.6098;-1.3368;0.2501;1.490
8.0710;-0.5238;-1.2196;0.2423;1.349
8.0730;-0.4495;-1.0828;0.2033;1.190
8.0750;-0.4183;-1.0358;0.1876;1.133
8.0850;-0.4299;-1.0358;0.1602;1.133
8.0870;-0.4612;-1.0828;0.1485;1.186
