time,x,y,z
17:40:31:814,-0.00,-0.16,-0.10
17:40:31:817,-0.04,-0.14,-0.04
17:40:31:820,-0.05,-0.11,0.01
17:40:31:821,-0.06,-0.09,0.02
17:40:31:827,-0.04,-0.09,0.02
17:40:31:837,0.00,-0.09,-0.01
17:40:31:846,0.01,-0.07,-0.02
17:40:31:866,0.00,-0.06,-0.00
17:40:31:895,-0.02,-0.04,0.04
17:40:31:897,-0.01,-0.03,0.06
17:40:31:899,-0.01,-0.03,0.06
17:40:31:905,-0.01,-0.01,0.06
17:40:31:914,-0.00,-0.01,0.05
17:40:31:924,0.01,-0.01,0.05
17:40:31:937,0.02,0.01,0.06
17:40:31:944,0.03,0.01,0.07
17:40:31:954,0.02,0.01,0.09
17:40:31:963,0.01,0.03,0.09
17:40:32:2,-0.00,0.02,0.09
17:40:32:5,-0.00,0.03,0.09
17:40:32:7,-0.00,0.05,0.09
17:40:32:9,-0.00,0.05,0.09
17:40:32:11,-0.00,0.06,0.09
17:40:32:23,-0.02,0.06,0.09
17:40:32:31,-0.02,0.06,0.09
17:40:32:41,-0.02,0.05,0.08
17:40:32:90,-0.03,0.04,0.09
17:40:32:94,-0.04,0.03,0.09
17:40:32:96,-0.04,0.04,0.09
17:40:32:100,-0.03,0.04,0.08
17:40:32:103,-0.01,0.03,0.08
17:40:32:112,-0.01,0.04,0.07
17:40:32:124,-0.02,0.03,0.06
17:40:32:129,-0.03,0.04,0.05
17:40:32:140,-0.05,0.04,0.04
17:40:32:148,-0.04,0.04,0.03
17:40:32:158,-0.03,0.03,0.02
17:40:32:167,-0.02,0.03,0.02
17:40:32:208,-0.02,0.03,0.02
17:40:32:211,-0.03,0.02,0.03
17:40:32:213,-0.03,0.03,0.03
17:40:32:216,-0.03,0.02,0.02
